Movie,Release Date,Metacritic,IMDb,Rotten Tomatoes,Fandango
scream,nan,nan,83.0,nan,nan
tár,nan,nan,75.0,nan,nan
reservoir dogs,nan,nan,68.0,nan,nan
dungeons & dragons: honor among thieves,nan,nan,74.0,nan,nan
the angry black girl and her monster,2023-06-09,61.0,nan,85,89
batman begins,nan,nan,74.0,nan,nan
agent,nan,nan,nan,nan,nan
the attachment diaries,nan,nan,nan,nan,nan
the wrath of becky,nan,51.0,75.0,nan,nan
lady bird,nan,nan,71.0,nan,nan
the hangover,nan,nan,77.0,nan,nan
falcon lake,nan,71.0,nan,nan,nan
whiplash,nan,nan,85.0,nan,nan
transformers: rise of the beasts,2023-06-09,42.0,62.0,52,91
users,nan,66.0,nan,nan,nan
quicksand,nan,nan,90.0,nan,nan
about my father,nan,39.0,nan,nan,nan
showing up,nan,85.0,nan,nan,nan
a haunting in venice,nan,nan,89.0,nan,nan
casino,nan,nan,82.0,nan,nan
spider-man: across the spider-verse,2023-06-02,86.0,63.0,96,94
joker: folie à deux,nan,nan,81.0,nan,nan
avengers: endgame,nan,nan,84.0,nan,nan
the greatest showman,nan,nan,55.0,nan,nan
suicide squad,nan,nan,61.0,nan,nan
summoning sylvia,nan,nan,nan,nan,nan
mean girls,nan,nan,55.0,nan,nan
trenque lauquen parte i,nan,91.0,nan,nan,nan
dd returns,2023-07-28,nan,nan,nan,nan
immortals,nan,nan,63.0,nan,nan
rain man,nan,nan,80.0,nan,nan
a bronx tale,nan,nan,78.0,nan,nan
as far as i can walk,nan,nan,nan,nan,nan
star wars: episode iv - a new hope,nan,nan,70.0,nan,nan
midsommar,nan,nan,71.0,nan,nan
justice league,nan,nan,72.0,nan,nan
american beauty,nan,nan,74.0,nan,nan
love,nan,nan,61.0,nan,nan
organ trail,nan,nan,nan,nan,nan
simulant,nan,nan,nan,nan,nan
the commuter,nan,nan,63.0,nan,nan
maximum truth,nan,nan,nan,nan,nan
girl in the basement,nan,nan,83.0,nan,nan
the dreamers,nan,nan,71.0,nan,nan
kolai,2023-07-21,nan,nan,nan,nan
they cloned tyrone,nan,nan,78.0,nan,nan
it's quieter in the twilight,nan,nan,nan,nan,nan
crazy stupid love.,nan,nan,33.0,nan,nan
the usual suspects,nan,nan,78.0,nan,nan
spider-man: homecoming,nan,nan,83.0,nan,nan
oldboy,nan,nan,80.0,nan,nan
glass onion,nan,nan,68.0,nan,nan
superbad,nan,nan,67.0,nan,nan
evil dead rise,nan,nan,66.0,nan,nan
kalki 2898-ad,nan,nan,80.0,nan,nan
the age of adaline,nan,nan,74.0,nan,nan
the out-laws,nan,nan,54.0,nan,nan
once upon a time in america,nan,nan,83.0,nan,nan
sheroes,nan,nan,nan,nan,nan
terrifier 2,nan,nan,61.0,nan,nan
born to fly,nan,nan,nan,nan,nan
the suicide squad,nan,nan,75.0,nan,nan
the prestige,nan,nan,63.0,nan,nan
the breakfast club,nan,nan,86.0,nan,nan
the magnificent seven,nan,nan,75.0,nan,nan
the woman king,nan,nan,60.0,nan,nan
inception,nan,nan,66.0,nan,nan
8 a.m. metro,nan,nan,nan,nan,nan
the blackening,2023-06-16,69.0,77.0,87,85
idiocracy,nan,nan,73.0,nan,nan
snatch,nan,nan,82.0,nan,nan
ride on,nan,50.0,nan,nan,nan
blade runner,nan,nan,59.0,nan,nan
smile,nan,nan,65.0,nan,nan
jurassic world dominion,nan,nan,56.0,nan,nan
lynch/oz,2023-06-02,62.0,nan,82,67
a quiet place,nan,nan,75.0,nan,nan
amsterdam,nan,nan,53.0,nan,nan
kraven the hunter,nan,nan,69.0,nan,nan
joyland,nan,82.0,nan,nan,nan
cadejo blanco,nan,nan,nan,nan,nan
the hunt,nan,nan,56.0,nan,nan
romeo + juliet,nan,nan,68.0,nan,nan
the irishman,nan,nan,79.0,nan,nan
stardust,nan,nan,76.0,nan,nan
hidden strike,nan,nan,72.0,nan,nan
avatar: the way of water,nan,nan,79.0,nan,nan
the boogeyman,2023-06-02,55.0,81.0,62,66
beetlejuice,nan,nan,75.0,nan,nan
unfinished business,nan,nan,nan,nan,nan
bones and all,nan,nan,67.0,nan,nan
chile '76,2023-05-05,nan,nan,91,97
the little mermaid,2023-05-26,59.0,69.0,67,94
requiem for a dream,nan,nan,62.0,nan,nan
war pony,2023-07-28,69.0,nan,90,100
ticket to paradise,nan,nan,61.0,nan,nan
freaks vs. the reich,nan,42.0,nan,nan,nan
the best man,nan,nan,nan,nan,nan
heat,nan,nan,72.0,nan,nan
moon garden,nan,nan,nan,nan,nan
encanto,nan,nan,72.0,nan,nan
asvins,nan,nan,50.0,nan,nan
green book,nan,nan,73.0,nan,nan
the miracle club,2023-07-14,51.0,66.0,70,85
bullet train,nan,nan,81.0,nan,nan
insidious: chapter 2,nan,nan,65.0,nan,nan
extraction 2,nan,nan,90.0,nan,nan
little women,nan,nan,82.0,nan,nan
the godfather,nan,nan,69.0,nan,nan
the eight mountains,nan,78.0,nan,nan,nan
the lost weekend: a love story,nan,nan,nan,nan,nan
about time,nan,nan,73.0,nan,nan
the pianist,nan,nan,85.0,nan,nan
blue jean,2023-06-09,87.0,nan,95,89
the place beyond the pines,nan,nan,79.0,nan,nan
fifty shades of grey,nan,nan,76.0,nan,nan
the meg,nan,nan,56.0,nan,nan
pathaan,nan,nan,59.0,nan,nan
follow her,nan,nan,nan,nan,nan
while we watched,nan,68.0,nan,nan,nan
the count of monte cristo,nan,nan,77.0,nan,nan
the unseen,nan,nan,nan,nan,nan
saw x,nan,nan,71.0,nan,nan
horseplay,nan,nan,nan,nan,nan
scream vi,nan,nan,73.0,nan,nan
forrest gump,nan,nan,78.0,nan,nan
we were famous you don't remember: the embarrassment,nan,nan,nan,nan,nan
slum dog husband,2023-07-29,nan,nan,nan,nan
goodfellas,nan,nan,67.0,nan,nan
donnie darko,nan,nan,80.0,nan,nan
contempt,1963-12-18,nan,nan,92,85
past lives,2023-06-30,94.0,84.0,98,94
once upon a time in uganda,nan,77.0,nan,nan,nan
nope,nan,nan,68.0,nan,nan
my cousin vinny,nan,nan,76.0,nan,nan
aftersun,nan,nan,84.0,nan,nan
365 days,nan,nan,87.0,nan,nan
twilight,nan,82.0,83.0,nan,nan
borderlands,nan,nan,75.0,nan,nan
